artist_id,name,followers,artist_popularity,genre_1,genre_2,genre_3
7y7ldvuEKjaHEmUuiMQ8Si,Grupo Coleccion,440,6,,,
7y6XJEjPF0yxmBCk8CW5hN,Jayden Taylor,1,1,,,
7y6JGwXoPWx1KNyyOyqSI5,"A Noiva, Igreja do Reino da Arte",209,0,,,
7y62LosfVdoL07cB9BT4i6,Smookie Illson,5097,15,,,
7y5KBBo6GUgOcp7iWQKKd6,speedbump,97,2,,,
7y5czJruTrJCzDVd7OzmMZ,Kynigator,0,0,,,
7y4sBvPmd4VZuA4AtPqiGM,Jae Hendrix,38,1,,,
7y4bEc4vIhTz37fnzKkUkP,Rosiloa Black Rose,239,7,fijian pop,melanesian pop,
7y3zuETAxwKVJEEi1052Rx,Kush Kelz,919,0,,,
7y2KMRKQdcHt3v472lA6DT,John Gallagher & Scott Prouty,7,0,,,
7y2DXdRackYULQq4qsCxpL,Robin and the Backstabbers,27532,33,romanian indie,romanian rock,
7y1Z5RFuhmn0L1in87Hayd,Lucas,538,28,,,
7y1jmiKP6C00Zbh7r9dygN,Maxwell Carvalho,18,0,,,
7y04YG9RJzaFi1F0gjfYxQ,Drum & Bass Republic,233,0,,,
7xzes9NYa26fhWBVf8yFjq,Sklerosis,27,0,,,
7xy7iafN2DZL3Ns8pfgoPr,Kassidy Miles,63,15,,,
7xXauz7g7OKXf0xZnTHwXk,Deep On The Beat,5,0,,,
7xx5uEbcCYMaMtFYlf9fyz,Cardi B Slay,2,0,,,
7xWUC5JSWAEdURcPixCEx5,GK Squad,53,0,,,
7xVgcD64SOhLoXfCxN7yg8,Delia Derbyshire,19177,25,british electroacoustic,british soundtrack,hauntology
7xv3eAqAetyC5dK2O8dYYV,S3V4,413,9,,,
7xUUEXGlDTf4dJyNQeNNpH,Lil Crush,2489,4,,,
7xuGYaDGDY1SSSHFroP15c,Soul Shadow,102,2,,,
7xufeYxmjoF2XnoJfjYez4,Lil Wayne's karaoke band,40,0,,,
7xuBoYZZ8uGVOkZvvrfcfZ,Brandy Garcia,0,0,,,
7xTzjB3J15U0URzeYU90JM,Jermaine Fagan,270,21,,,
7xTKMbpOBMCucyLBzwTzIT,Miguel Islas,7263,17,latin arena pop,,
7xtH99LIfTdFERRQE7kT8z,Rohana Weerasinghe,23084,35,classic sinhala pop,sinhala pop,
7xTEHHuiwDFqCz4Zr5BH7m,Brandy Elswick,0,4,,,
7xsx1kU30NkSNBa14vAB4x,Ygu,1093,20,,,
7xsi0kBJ58yWMu4WXFYPHU,Sin Fang,19601,30,icelandic folk,icelandic indie,icelandic pop
7xSBYOQmRbnWrhKJQETfNV,KaizanBlu,2219,24,,,
7xrOk6f5GPHHCKTOOfpKFj,Jayant_unplugged,30,2,,,
7xQwfDzFotdQPZTacuN72o,Nirvana Tribe,65,0,,,
7xq3UXsjlOdGFcCDGVqs6t,THE KR3ATOR,3,0,,,
7xpU57jqDsWwhSL3JplAhR,Bic Fuego,147,27,,,
7xp9NzYSj8I2rr474Kosgr,Studebaker John's Maxwell Street Kings,123,2,,,
7xP3g3Tm66zGPCdwBqQenQ,lotfi arroudi,1478,8,,,
7xNZ5h78xi1DrjdxFMsbQ0,Futurelust,223,2,,,
7xN9WPokBDyU1yTL2nxmjz,FRANK ZUMMO,3969,31,,,
7xn0dNayS3daHN5MrgmIrc,Mark Howard,1181,36,instrumental bluegrass,,
7xmRgtwTTPHuq5UwJ0oeTZ,HeroicMonk,1739,27,,,
7xlo0WgmWCsF2lpdy4HSwy,Dripkoke,197,8,,,
7xLdezwE6OgwbhOSWolWuz,Andy Cooper,4605,26,,,
7xklw3WodFZiNNmQt3DIgp,Angels & Airwaves,687333,53,pop punk,socal pop punk,
7xJn5Vcb9vElhefFncszk1,Emancipation Hip Hop Karaoke Hitts,3,0,,,
7xJ9jonZu348ICX8mlXga9,Zae Laws,22,0,,,
7xj1YIDzHU6vkUwP76NEyx,Music Factory,66045,61,sped up,,
7xihR0iAXmuXt2XJobep51,Moses,4513,40,turkish edm,,
7xiDod2rrrBjCZIcJy8uhO,Perfect Pitch,3257,10,,,
7xiBTO3giesxI4aeHg8b4z,Ybrazzy,315,2,,,
7xi2cmRkC72GXlJ2CFwSkE,Brandie Posey,341,5,,,
7xHeGOv4WQlT836sNkZd8j,Kingdom Jasmine,2545,8,,,
7xgzNWZSCmjfAjecE0BB9m,Kaseii改善,44,0,,,
7xFnmid57ZE6iWEXdEXO3b,Tracey Thorn,60053,43,british soul,new wave pop,solo wave
7xfeo24u8goKQRhKRj6MP1,Takeem,6801,29,hong kong hip hop,,
7xevDCUuHSqqOPI210vdE9,Nikki McKibbin,1244,0,,,
7xeTvaafCfpJvLgny0QUqD,Mesikko,1,0,,,
7xeJez23Go2WVfJU6BksX5,Jess McIntosh & Aaron Smith,28,0,,,
7xEHGc7TyYE31BB1YTCihj,21hari$,1553,0,drill italiana,,
7xCGHQXxpiAuyd3poy9Hzb,Junkie Dred,13,2,,,
7x8nEVAKuHc4GWY8ZIUpib,HERA,382,4,,,
7x8MuRMbm9XIldHSJOtoNo,22 Savage,51041,14,baton rouge rap,,
7x83XhcMbOTl1UdYsPTuZM,Tom Waits,1334893,57,folk,singer-songwriter,
7x70FxRcDFn03Xt29z7q6n,Conundrum Collective,112,14,,,
7x6piCyJR9YpMWhTRyHRvJ,Level,28910,45,bounce,deep southern trap,rap metalcore
7x65Q7496BsEPRIrOMwwqD,Bishop,173,1,,,
7x5rK9BClDQ8wmCkYAGsQp,Paolo Nutini,1372425,63,british soul,neo mellow,scottish singer-songwriter
7x4OXq2sqvXH99Z7kwpDpJ,Brady Jo,145,6,,,
7x3f7c0fBanNlQwpx1255g,Françoise Hardy,405975,55,chanson,ye ye,
7x33McbDcLOdJibAaJ7OMf,Bailey Bell,126,9,,,
7x2hBF3bNPwW9PnKxg9Zf8,OUENZA,290776,43,rap maroc,,
7x1wbGJMHxRaTni10vS1Lq,Marshal Gonke,11,1,,,
7x1T0cqp8j3rLEiqXXcUoo,SHAWMAN,19,2,,,
7x1riqKyOjly8udO9DhPVi,Hayseed Dixie,55452,29,bluegrass,comedy rock,comic
7x13ZgP3EXOFbABEx41WMV,Benton Flippen,1136,4,appalachian folk,old-time,old-time fiddle
7x0kRw1MID6hmvl5O7E4jL,Soulic M,152,3,,,
7x0gxPRqJI3YpEMcQa9zjX,Megan Wilder,326,3,,,
7wz9u0BH3kYNuK0oaTCBG4,高利虹,0,0,,,
7wYEs2F2dHz3VuIJdYqn7K,Kentucky Thunder,3776,28,bluegrass,bluegrass gospel,blues band
7wxLYZxFPf1HWPIaGesxAg,Dan Shake,14969,25,float house,jazz house,
7wWToUIaO58u04tteIAIMw,EntertainMe,12,0,,,
7wwdO3koJONTrS5TtFJ8RN,eee gee,9226,38,danish indie,,
7wTnuabmq5mpF4ENwwC8el,Soulista,1154,25,soulful house,,
7wTIHB7Udnj65nMz4R5bj9,jesse saint john,6303,5,,,
7wTcbtftynFDR7bguI6lZQ,Mick Boulevard,50,0,,,
7wT3Mx4VlI7BrflPzRLUqR,Wee-o,1202,15,,,
7wSZC4BQTQRxUn0AWWaQZ3,Ty Breezzyy,130,0,,,
7wsJRhOLZxq69JxPImir3x,Smowkey Di Kota,1,0,,,
7wrWSJHfACjw7s7gYXOXTt,BigBreeze,13081,40,christian hip hop,christian trap,
7wrgHuetS3MhlUeJjBX1Yx,Anthony Adams & the Nite Owls,272,0,,,
7wQMbD0ByFKWEC4sCP3g5q,张云龙,159,15,,,
7wQjrlJFiW1HhctCYRjy5h,Black Pond,82,0,,,
7wP1gK8LwwdZt0RmBDLCT9,Nicky9ine,195,10,,,
7wOZy3KdFVVINgNFFxkxwO,Jerry Rivera,1882557,64,latin pop,puerto rican pop,salsa
7wOOvJ7BwpFWIoVGa0nhh6,Ellie Cox,72,37,,,
7wOOdq5saZp4gEwMQXJf0z,The Hamilton Alpine Club,224,0,,,
7wNxbhLI5CufuLBy50JcZu,Luca Brasi,29169,35,aussie emo,australian indie,tassie indie
